MES; ANO; TIPO DE ERRO; IDENTIFICADOR DO CANAL; NOME DO ARQUIVO OU CANAL; FATO GERADOR DO ERRO; DESCRICAO DO ERRO
agosto; 2013; CANAL; BSP; BAND SPORTS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; BSU; BAND SPORTS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; C21; CANAL 21; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; C37; CANAL 37; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CAH; CARTOON NETWORK; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CBR; CANAL BRASIL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CCE; COMEDY CENTRAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CCO; CANAL COMUNIT TVA - TV ABERTA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CFX; FX; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CFZ; CANAL FX HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CHD; CULTURA HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CNN; CNN INTERNATIONAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CNT; CNT; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CNU; CANAL UNIVERSITÁRIO SP; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CNV; CANÇÃO NOVA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; COR; TV CORÉIA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; CUL; TV CULTURA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DCI; DISCOVERY CIVILIZATION; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DHD; DISCOVERY HD THEATER; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DIH; DISCOVERY CHANNEL HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DIK; DISCOVERY KIDS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DIS; DISCOVERY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DKH; DISCOVERY KIDS - HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DNH; DISNEY CHANNEL - HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DNY; DISNEY CHANNEL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DSC; DISCOVERY SCIENCE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DTU; DISCOVERY TURBO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DWL; DW-TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; DXD; DISNEY XD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; EBH; ESPN BRASIL HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; EET; E!; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; ESB; ESPN BRASIL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; ESC; TV ESCOLA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; ESH; ESPN+ HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; ESP; ESPN; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; ESQ; ESPN HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FAZ; GLITZ; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FLI; FOX LIFE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FOW; FOX HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FOX; FOX; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FS1; FOX SPORTS 2 - HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FS2; FOX SPORTS 2; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FSH; FOX SPORTS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FSP; FOX SPORTS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; FUT; FUTURA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; G01; TELA NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GAM; GAMES INTERATIVOS NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GAZ; GAZETA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GHD; GLOBOSAT HDTV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GHS; + GLOBOSAT - VERSÃO SD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GLH; GLOBO SÃO PAULO - HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GLN; GLOBO NEWS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GLO; GLOBO NEWS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GLS; FOR MAN; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GNT; GNT; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GNU; GNT HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GOB; GLOOB; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GOH; GLOOB HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GOS; REDE GOSPEL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; GSP; GLOBO SP; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; H2H; HBO 2 HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HAL; STUDIO UNIVERSAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HB2; HBO 2; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HBO; HBO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HBS; HBO HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HEA; HOME AND HEALTH; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HEC; SEXTREME; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HEH; HOME AND HEALTH HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HFA; HBO FAMILY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HFB; HBO FAMILY HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HFE; HBO SIGNATURE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HFH; HBO SIGNATURE HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; HIH; HISTORY HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
